Nome prodotto,Macro (lubrificanti / ausiliari per industria),Categoria / Categorie di appartenenza,Sottocategoria / Sottocategorie di appartenenza,Marchio,Descrizione prodotto (facoltativa),Applicazione,Osservazione,Note
Ite 600   ,Fluidi industriali,Lubrificazione,Olio per trasformatori,ENI,"Eni ITE 600 è un olio minerale non inibito di alta qualità idoneo ad essere impiegato in trasformatori, interruttori, condensatori, reostati ed in molte altre applicazioni elettrotecniche operanti a basse temperature. E’ un prodotto altamente stabile che soddisfa i requisiti delle prove di corrosione ASTM D1275 B e CIGRE TF A2.32.01 (CCD test). Eni ITE 600 garantisce un'elevata resistenza dielettrica; si raccomanda la rigorosa applicazione delle norme in vigore sia per il trattamento preventivo di essiccamento e filtrazione che per le periodiche operazioni di controllo e manutenzione sull’olio e sulle apparecchiature elettriche.",,,
Ite 600 X  ,Fluidi industriali,Lubrificazione,Olio per trasformatori,ENI,"Eni ITE 600 X è un olio per trasformatori a base minerale particolarmente raffinata, di tipo inibito antiossidante, con eccellenti proprietà dielettriche. E' stato studiato e realizzato per essere impiegato come olio dielettrico in trasformatori, interruttori, condensatori, reostati ed in molte altre applicazioni elettrotecniche quando sia previsto l'impiego di fluidi a base minerale. E’ un prodotto altamente stabile che soddisfa i requisiti delle prove di corrosione ASTM D1275 B e CIGRE TF A2.32.01 (CCD test).",,,
Turmsilon HV 3  ,Fluidi industriali,Lubrificazione,Altro,Lubcon,Descrizione prodotto a breve,,,
Turmsilon K 350  ,Fluidi industriali,Lubrificazione,Altro,Lubcon,Descrizione prodotto a breve,,,
Turmsilon M100   ,Fluidi industriali,Lubrificazione,Altro,Lubcon,Descrizione prodotto a breve,,,
Turmsilon M100 Spray  ,Fluidi industriali,Lubrificazione,Altro,Lubcon,Descrizione prodotto a breve,,,
Turmsilon MV 2  ,Fluidi industriali,Lubrificazione,Altro,Lubcon,Descrizione prodotto a breve,,,
Turmsilon MV 3  ,Fluidi industriali,Lubrificazione,Altro,Lubcon,Descrizione prodotto a breve,,,
Grizzlygrease Bio 00-1000  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Grizzlygrease Bio 1-1000  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Grizzlygrease N°1   ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Grizzlygrease N°1 fluid 80 EX,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Grizzlygrease N°1 NLGI 0 ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Grizzlygrease N°2   ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Grizzlygrease N°3   ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Sintono GPE 703  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Thermoplex 2 TML  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Thermoplex 2 TML spezial ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Thermoplex ALN 1001  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Thermoplex ALN 1001-0  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Thermoplex ALN 1001-00  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Thermoplex ALN 1001-000  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Thermoplex ALN 1002  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Thermoplex ALN 251 EP ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Thermoplex ALN 252 EP ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Thermoplex L 122  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Thermoplex TTF 122  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogease HSP 1 weiss ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease BN 5002 EP ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease BN 5002 MF ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease CAK 2502  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease CAK 4003  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease HDC 2  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease HS L 182 ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease HS L 251 ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease HS L 252 ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease L 801 EP plus,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease L 802 EP plus,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease LC 252  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease Li 802 EP ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease N 2  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease N 3  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease N 4601  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease N 4602  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease N 4602 plus ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease N 8002  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease NBI   ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease NBI spray  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease NM 0  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease NM 2  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease NM 4601  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease PHS 1002  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmogrease SKL 18  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmoplex 0 EP  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmoplex 1 EP  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmoplex 2 EP  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmoplex 2 G  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmoplex 2 MF  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmoplex 2 White Special ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmoplex EL 0 EP ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmoplex EL 0 EP ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmoplex L 360 HV ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmoplex LC LEICHT 0 ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmoplex LKF 1802  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmopolgrease 0   ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmopolgrease 0   ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmosynthgrease AL 1001  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmosynthgrease AL 1001-00  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmosynthgrease AL 1002  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmosynthgrease AL 2501  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
Turmosynthgrease AL 2502  ,Fluidi industriali,Lubrificazione,Grasso,Lubcon,Descrizione prodotto a breve,,,
